"region_id","min_age","total"
"15","80","158816"
"15","85","96457"
"15","90","38974"
"15","95","9162"
"15","100","908"
"16","0","146757"
"16","5","171695"
"16","10","189371"
"16","15","206808"
"16","20","215618"
"16","25","223657"
"16","30","222922"
"16","35","238039"
"16","40","282201"
"16","45","301091"
"16","50","311957"
"16","55","293629"
"16","60","257718"
"16","65","233182"
"16","70","225233"
"16","75","165301"
"16","80","136652"
"16","85","85572"
"16","90","36258"
"16","95","8762"
"16","100","882"
"17","0","19131"
"17","5","21378"
"17","10","24239"
"17","15","27278"
"17","20","29140"
"17","25","32043"
"17","30","32186"
"17","35","33018"
"17","40","37207"
"17","45","41260"
"17","50","44135"
"17","55","43687"
"17","60","38551"
"17","65","34266"
"17","70","30160"
"17","75","21645"
"17","80","21657"
"17","85","14450"
"17","90","6180"
"17","95","1518"
"17","100","125"
"18","0","75828"
"18","5","82594"
"18","10","89301"
"18","15","95408"
"18","20","101946"
"18","25","111943"
"18","30","117282"
"18","35","119386"
"18","40","129476"
"18","45","136941"
"18","50","144474"
"18","55","142330"
"18","60","127327"
"18","65","113888"
"18","70","101516"
"18","75","73692"
"18","80","64515"
"18","85","43205"
"18","90","17936"
"18","95","4662"
"18","100","460"
"19","0","200136"
"19","5","220774"
"19","10","241480"
"19","15","258511"
"19","20","270648"
"19","25","288509"
"19","30","289758"
"19","35","299989"
"19","40","333685"
"19","45","364754"
"19","50","373974"
"19","55","358991"
"19","60","317871"
"19","65","283330"
"19","70","263695"
"19","75","193270"
"19","80","160523"
"19","85","102607"
"19","90","41543"
"19","95","10210"
"19","100","1032"
"20","0","49324"
"20","5","61159"
"20","10","66771"
"20","15","68881"
"20","20","72082"
"20","25","80193"
"20","30","87157"
"20","35","98275"
"20","40","117846"
"20","45","133084"
"20","50","135378"
"20","55","130690"
"20","60","116968"
"20","65","106673"
"20","70","94096"
"20","75","76761"
"20","80","57929"
"20","85","37243"
"20","90","16451"
"20","95","4202"
"20","100","458"
